,Country Name,Country Code,Indicator Name,Indicator Code,2018
174,Netherlands,NLD,"Population, total",SP.POP.TOTL,17231017.0
175,Norway,NOR,"Population, total",SP.POP.TOTL,5314336.0
176,Nepal,NPL,"Population, total",SP.POP.TOTL,28087871.0
177,Nauru,NRU,"Population, total",SP.POP.TOTL,12704.0
178,New Zealand,NZL,"Population, total",SP.POP.TOTL,4885500.0
179,OECD members,OED,"Population, total",SP.POP.TOTL,1303529456.0
180,Oman,OMN,"Population, total",SP.POP.TOTL,4829483.0
181,Other small states,OSS,"Population, total",SP.POP.TOTL,30758989.0
182,Pakistan,PAK,"Population, total",SP.POP.TOTL,212215030.0
183,Panama,PAN,"Population, total",SP.POP.TOTL,4176873.0
184,Peru,PER,"Population, total",SP.POP.TOTL,31989256.0
185,Philippines,PHL,"Population, total",SP.POP.TOTL,106651922.0
186,Palau,PLW,"Population, total",SP.POP.TOTL,17907.0
187,Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8606316.0
188,Poland,POL,"Population, total",SP.POP.TOTL,37978548.0
189,Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,919485393.0
190,Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3195153.0
191,"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25549819.0
192,Portugal,PRT,"Population, total",SP.POP.TOTL,10281762.0
193,Paraguay,PRY,"Population, total",SP.POP.TOTL,6956071.0
194,West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4569087.0
195,Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2457367.0
196,Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1109997273.0
197,French Polynesia,PYF,"Population, total",SP.POP.TOTL,277679.0
198,Qatar,QAT,"Population, total",SP.POP.TOTL,2781677.0
199,Romania,ROU,"Population, total",SP.POP.TOTL,19473936.0
200,Russian Federation,RUS,"Population, total",SP.POP.TOTL,144478050.0
201,Rwanda,RWA,"Population, total",SP.POP.TOTL,12301939.0
202,South Asia,SAS,"Population, total",SP.POP.TOTL,1814388744.0
203,Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,33699947.0
204,Sudan,SDN,"Population, total",SP.POP.TOTL,41801533.0
205,Senegal,SEN,"Population, total",SP.POP.TOTL,15854360.0
206,Singapore,SGP,"Population, total",SP.POP.TOTL,5638676.0
207,Solomon Islands,SLB,"Population, total",SP.POP.TOTL,652858.0
208,Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7650154.0
209,El Salvador,SLV,"Population, total",SP.POP.TOTL,6420744.0
210,San Marino,SMR,"Population, total",SP.POP.TOTL,33785.0
211,Somalia,SOM,"Population, total",SP.POP.TOTL,15008154.0
212,Serbia,SRB,"Population, total",SP.POP.TOTL,6982084.0
213,Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1078209758.0
214,South Sudan,SSD,"Population, total",SP.POP.TOTL,10975920.0
215,Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1078306520.0
216,Small states,SST,"Population, total",SP.POP.TOTL,40575321.0
217,Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,211028.0
218,Suriname,SUR,"Population, total",SP.POP.TOTL,575991.0
219,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5447011.0
220,Slovenia,SVN,"Population, total",SP.POP.TOTL,2067372.0
221,Sweden,SWE,"Population, total",SP.POP.TOTL,10183175.0
222,Eswatini,SWZ,"Population, total",SP.POP.TOTL,1136191.0
223,Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40654.0
224,Seychelles,SYC,"Population, total",SP.POP.TOTL,96762.0
225,Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16906283.0
226,Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,37665.0
227,Chad,TCD,"Population, total",SP.POP.TOTL,15477751.0
228,East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2056064424.0
229,Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,459865205.0
230,Togo,TGO,"Population, total",SP.POP.TOTL,7889094.0
231,Thailand,THA,"Population, total",SP.POP.TOTL,69428524.0
232,Tajikistan,TJK,"Population, total",SP.POP.TOTL,9100837.0
233,Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5850908.0
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,625569713.0
235,Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1267972.0
236,Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,378327628.0
237,Tonga,TON,"Population, total",SP.POP.TOTL,103197.0
238,South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1814388744.0
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1078306520.0
